RID,Protocol,ip_src,ip_dst,pro_srcport,pro_dstport,flags_ack,ip_flags_mf,ip_flags_df,ip_flags_rb,pro_seq,pro_ack,frame_time,Packets,Bytes1,Tx_Packets,Tx_Bytes,Rx_Packets,Rx_Bytes,Label
C1231006815,udp,192.168.1.1,192.168.23.2,2412,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.071112000 Mountain Daylight Time,8,432,4,216,4,216,smurf
C1666544295,udp,192.168.1.1,192.168.23.2,2413,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.071138000 Mountain Daylight Time,10,540,5,270,5,270,smurf
C1305486145,udp,192.168.1.1,192.168.23.2,2414,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.071146000 Mountain Daylight Time,12,648,6,324,6,324,smurf
C840083671,udp,192.168.1.1,192.168.23.2,2415,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.071152000 Mountain Daylight Time,10,540,5,270,5,270,smurf
C2048537720,udp,192.168.1.1,192.168.23.2,2416,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.071159000 Mountain Daylight Time,6,324,3,162,3,162,smurf
C90045638,udp,192.168.1.1,192.168.23.2,2417,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.071165000 Mountain Daylight Time,12,648,6,324,6,324,smurf
C154988899,udp,192.168.1.1,192.168.23.2,2418,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.071174000 Mountain Daylight Time,8,432,4,216,4,216,smurf
C1912850431,udp,192.168.1.1,192.168.23.2,2419,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.071180000 Mountain Daylight Time,12,648,6,324,6,324,normal
C1265012928,tcp,192.168.1.1,192.168.23.2,2420,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.071187000 Mountain Daylight Time,12,648,6,324,6,324,normal
C712410124,udp,192.168.1.1,192.168.23.2,2421,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.071195000 Mountain Daylight Time,12,648,6,324,6,324,smurf
C1900366749,tcp,192.168.1.1,192.168.23.2,2422,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.071286000 Mountain Daylight Time,10,540,5,270,5,270,smurf
C249177573,udp,192.168.1.1,192.168.23.2,2423,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.071299000 Mountain Daylight Time,12,648,6,324,6,324,Fraggile
C1648232591,udp,192.168.1.1,192.168.23.2,2424,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.071305000 Mountain Daylight Time,8,432,4,216,4,216,normal
C1716932897,tcp,192.168.1.1,192.168.23.2,2425,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.071340000 Mountain Daylight Time,12,648,6,324,6,324,smurf
C1026483832,tcp,192.168.1.1,192.168.23.2,2426,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.071363000 Mountain Daylight Time,10,540,5,270,5,270,normal
C905080434,tcp,192.168.1.1,192.168.23.2,2427,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.071409000 Mountain Daylight Time,14,756,7,378,7,378,normal
C761750706,tcp,192.168.1.1,192.168.23.2,2428,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.071423000 Mountain Daylight Time,8,432,4,216,4,216,smurf
C1237762639,udp,192.168.1.1,192.168.23.2,2429,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.071437000 Mountain Daylight Time,10,540,5,270,5,270,smurf
C2033524545,udp,192.168.1.1,192.168.23.2,2430,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.071444000 Mountain Daylight Time,8,432,4,216,4,216,normal
C1670993182,tcp,192.168.1.1,192.168.23.2,2431,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.071481000 Mountain Daylight Time,10,540,5,270,5,270,Fraggile
C20804602,udp,192.168.1.1,192.168.23.2,2432,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.071509000 Mountain Daylight Time,12,648,6,324,6,324,smurf
C1566511282,tcp,192.168.1.1,192.168.23.2,2433,8000,1,0,0,0,1,1, 16-Jun 2020 20:18:15.071513000 Mountain Daylight Time,6,324,3,162,3,162,normal
